mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,300168,2021-11-15,S,S,A,C,S,S,A,11.62,11.62,11.09,0.53,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000002,2021-11-19,S,S,A,C,S,S,A,17.8022,16.49,15.64,0.85,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000581,2021-11-22,S,S,A,C,S,S,A,17.2225,15.39,14.85,0.54,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300168,2021-11-22,S,S,A,C,S,S,A,11.95,11.79,11.29,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603568,2021-11-22,S,S,A,C,S,S,A,17.3631,17.63,16.74,0.89,,1,17.63,21.2749,2021-11-29,0,4.0777,1,17.63,19.8072,2021-12-06,0,2.4297,1,17.63,22.3815,2021-12-20,0,5.3204
prebreak,000977,2021-11-26,S,S,A,C,S,S,A,32.1859,31.41,29.97,1.44,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300168,2021-11-29,S,S,A,C,S,S,A,11.52,11.79,11.29,0.5,,1,11.79,11.88,2021-12-06,0,0.162,1,11.79,12.14,2021-12-13,0,0.6816,1,11.79,12.7,2021-12-27,0,1.8009
prebreak,600598,2021-11-29,S,S,A,C,S,S,A,11.9982,12.35,11.81,0.54,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603896,2021-11-29,S,S,A,C,S,S,A,32.6814,32.77,31.21,1.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002698,2021-11-30,S,S,A,C,S,S,A,12.0897,11.71,11.17,0.54,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002739,2021-12-01,S,S,A,C,S,S,A,14.13,14.76,14.13,0.63,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002698,2021-12-07,S,S,A,C,S,S,A,11.341,12.31,11.73,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300383,2021-12-09,S,S,A,C,S,S,A,14.0863,14.32,13.77,0.55,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600967,2021-12-09,S,S,A,C,S,S,A,10.0301,9.56,9.06,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603139,2021-12-09,S,S,A,C,S,S,A,20.9221,20.15,19.14,1.01,,1,20.15,20.3642,2021-12-16,0,0.1968,1,20.15,20.5734,2021-12-23,0,0.4038,1,20.15,21.4701,2022-01-07,0,1.291
prebreak,000977,2021-12-10,S,S,A,C,S,S,A,34.0566,33.3,31.54,1.76,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600104,2021-12-10,S,S,A,C,S,S,A,19.3171,18.7,17.73,0.97,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002262,2021-12-13,S,S,A,C,S,S,A,13.8308,14.18,13.5,0.68,,0,0.0,0.0,,0,0.0,1,14.18,14.4633,2021-12-27,0,0.4005,1,14.18,14.8725,2022-01-11,0,1.002
prebreak,603568,2021-12-13,S,S,A,C,S,S,A,21.4997,17.63,16.74,0.89,,1,17.63,22.3815,2021-12-20,0,5.3204,1,17.63,21.3163,2021-12-27,0,4.1242,1,17.63,19.103,2022-01-11,0,1.639
prebreak,002415,2021-12-16,S,S,A,C,S,S,A,45.6746,42.63,41.03,1.6,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300383,2021-12-16,S,S,A,C,S,S,A,14.3906,14.5,13.77,0.73,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300868,2021-12-16,S,S,A,C,S,S,A,26.9433,25.98,24.62,1.36,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002595,2021-12-17,S,S,A,C,S,S,A,16.8439,18.22,17.33,0.89,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300285,2021-12-20,S,S,A,C,S,S,A,40.559,42.52,40.74,1.78,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002925,2021-12-22,S,S,A,C,S,S,A,28.2491,28.56,27.25,1.31,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600729,2021-12-22,S,S,A,C,S,S,A,19.016,17.3,16.47,0.83,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002415,2021-12-23,S,S,A,C,S,S,A,44.3278,46.11,44.02,2.09,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300383,2021-12-23,S,S,A,C,S,S,A,14.2238,14.5,13.77,0.73,,1,14.5,14.4201,2021-12-30,0,-0.1245,1,14.5,14.4201,2021-12-30,0,-0.1245,1,14.5,14.4201,2021-12-30,0,-0.1245
prebreak,300873,2021-12-23,S,S,A,C,S,S,A,20.7284,21.76,20.87,0.89,,0,0.0,0.0,,0,0.0,1,21.76,21.9947,2022-01-07,0,0.2449,1,21.76,20.87,2022-01-20,1,-1.018
prebreak,300838,2021-12-27,S,S,A,C,S,S,A,17.4093,16.92,16.15,0.77,,1,16.92,17.3811,2021-12-30,0,0.5818,1,16.92,17.3811,2021-12-30,0,0.5818,1,16.92,17.3811,2021-12-30,0,0.5818
prebreak,600446,2021-12-27,S,S,A,C,S,S,A,13.5706,14.11,13.49,0.62,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002925,2021-12-29,S,S,A,C,S,S,A,28.8966,28.68,27.25,1.43,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600729,2021-12-29,S,S,A,C,S,S,A,18.8263,19.75,18.82,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300383,2021-12-30,S,S,A,C,S,S,A,14.4201,14.46,13.76,0.7,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300873,2021-12-30,S,S,A,C,S,S,A,19.9021,21.76,20.87,0.89,,1,21.76,21.9947,2022-01-07,0,0.2449,1,21.76,21.7891,2022-01-14,0,0.0141,1,21.76,20.87,2022-01-20,1,-1.018
